,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
121310,Yana Oleksandrivna Klochkova,22.0,182.0,70.0,UKR,2004,Athina,Swimming,Swimming Women's 4 x 100 metres Medley Relay,no medal,2,2
121315,Edit Klocker,16.0,175.0,54.0,HUN,1996,Atlanta,Swimming,Swimming Women's 100 metres Butterfly,no medal,1,1
121316,Edit Klocker,16.0,175.0,54.0,HUN,1996,Atlanta,Swimming,Swimming Women's 200 metres Butterfly,no medal,1,1
121317,Edit Klocker,16.0,175.0,54.0,HUN,1996,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,no medal,1,1
121337,Birgit Klomp (-Osselmann),16.0,171.32436260623228,61.75478645066274,GER,1956,Melbourne,Swimming,Swimming Women's 100 metres Freestyle,no medal,1,1
121338,Birgit Klomp (-Osselmann),16.0,172.8904109589041,62.60313174946004,GER,1956,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,no medal,1,1
121357,Petra Klosov,18.0,191.0,79.0,CZE,2004,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,no medal,2,1
121358,Petra Klosov,22.0,191.0,79.0,CZE,2008,Beijing,Swimming,Swimming Women's 100 metres Backstroke,no medal,2,2
121487,Margrit Knabenhans,17.0,169.89336016096578,60.55612244897959,SUI,1952,Helsinki,Swimming,Swimming Women's 200 metres Breaststroke,no medal,1,1
121518,"Kathryn Elizabeth ""Kay"" Knapp (-Norton)",18.0,170.0,57.0,USA,1956,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,1,1
121585,Andrea Kneppers,23.0,175.0,67.0,NED,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,no medal,1,1
121850,Kirsten Emilie Dhlie Knudsen (-Skjolding),19.0,162.0,57.0,DEN,1972,Munich,Swimming,Swimming Women's 400 metres Freestyle,no medal,1,1
