,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
192506,Susanna Kristina Pyki,23.0,159.0,49.0,FIN,2006,Torino,Figure Skating,Figure Skating Women's Singles,no medal,1,1
192949,Karen Elizabeth Preston,20.0,157.0,49.0,CAN,1992,Albertville,Figure Skating,Figure Skating Women's Singles,no medal,1,1
194582,Emmy Putzinger,14.0,161.31335149863762,51.11940298507463,AUT,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Women's Singles,no medal,1,1
196140,Nicole Rajiov (Rajic-),18.0,162.0,56.0,SVK,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,1,1
196845,Edel Signe Randem (-Uvland),17.0,161.31335149863762,51.11940298507463,NOR,1928,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,1,1
198035,Anna Rechnio,16.0,165.0,54.0,POL,1994,Lillehammer,Figure Skating,Figure Skating Women's Singles,no medal,2,1
198036,Anna Rechnio,20.0,165.0,54.0,POL,1998,Nagano,Figure Skating,Figure Skating Women's Singles,no medal,2,2
198816,Ivana Reitmayerov,17.0,164.0,51.0,SVK,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,1,1
200181,Karena K. Richardson (-Pazdirek),16.0,161.31335149863762,51.11940298507463,GBR,1976,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,2,1
200182,Karena K. Richardson (-Pazdirek),20.0,161.31335149863762,51.11940298507463,GBR,1980,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,2,2
200496,Danielle Rieder,14.0,163.0,47.0,SUI,1976,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,2,1
200497,Danielle Rieder,18.0,163.0,47.0,SUI,1980,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,2,2
200736,"Danielle ""Dany"" Rigoulot",16.0,161.31335149863762,51.11940298507463,FRA,1960,Squaw Valley,Figure Skating,Figure Skating Women's Singles,no medal,1,1
201986,Jennifer Robinson (-Dennison),25.0,170.0,55.0,CAN,2002,Salt Lake City,Figure Skating,Figure Skating Women's Singles,no medal,1,1
202209,Joannie Rochette,20.0,160.0,53.0,CAN,2006,Torino,Figure Skating,Figure Skating Women's Singles,no medal,2,1
202210,Joannie Rochette,24.0,160.0,53.0,CAN,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,Bronze,2,2
203429,"Barbara Ann Roles (-Pursley, -Williams)",18.0,161.31335149863762,51.11940298507463,USA,1960,Squaw Valley,Figure Skating,Figure Skating Women's Singles,Bronze,1,1
